v8-version,6,2,414,54,0
code-creation,Stub,3,3229,0x1bb073f93700,2122,"RecordWriteStub"
code-creation,Stub,3,3229,0x1bb073f93fc0,884,"RecordWriteStub"
code-creation,Stub,3,3230,0x1bb073f943a0,87,"DoubleToIStub"
code-creation,Stub,3,3231,0x1bb073f94460,2097,"RecordWriteStub"
code-creation,Stub,3,3231,0x1bb073f94d00,2088,"RecordWriteStub"
code-creation,Stub,3,3232,0x1bb073f955a0,2103,"RecordWriteStub"
code-creation,Stub,3,3235,0x1bb073f95e40,2088,"RecordWriteStub"
code-creation,Stub,3,3235,0x1bb073f966e0,884,"RecordWriteStub"
code-creation,Stub,3,3236,0x1bb073f96ac0,884,"RecordWriteStub"
code-creation,Stub,3,3236,0x1bb073f96ea0,2109,"RecordWriteStub"
code-creation,Stub,3,3237,0x1bb073f97740,882,"RecordWriteStub"
code-creation,Stub,3,3237,0x1bb073f97b20,207,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,3238,0x1bb073f97c60,235,"NumberToStringStub"
code-creation,Stub,3,3239,0x1bb073f97dc0,2125,"RecordWriteStub"
code-creation,Stub,3,3239,0x1bb073f98680,2142,"RecordWriteStub"
code-creation,Stub,3,3240,0x1bb073f98f40,884,"RecordWriteStub"
code-creation,Stub,3,3241,0x1bb073f99320,2104,"RecordWriteStub"
code-creation,Stub,3,3241,0x1bb073f99bc0,2088,"RecordWriteStub"
code-creation,Stub,3,3242,0x1bb073f9a460,251,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,3242,0x1bb073f9a5c0,2087,"RecordWriteStub"
code-creation,Stub,3,3243,0x1bb073f9ae60,87,"DoubleToIStub"
code-creation,Stub,3,3244,0x1bb073f9af20,2076,"RecordWriteStub"
code-creation,Stub,3,3244,0x1bb073f9b7a0,2142,"RecordWriteStub"
code-creation,Stub,3,3245,0x1bb073f9c060,199,"InternalArrayNoArgumentConstructorStub"
code-creation,Stub,3,3246,0x1bb073f9c1a0,110,"InternalArrayConstructorStub"
code-creation,Stub,3,3246,0x1bb073f9c280,199,"InternalArrayNoArgumentConstructorStub"
code-creation,Stub,3,3247,0x1bb073f9c3c0,319,"InternalArraySingleArgumentConstructorStub"
code-creation,Stub,3,3247,0x1bb073f9c560,27,"ArrayNArgumentsConstructorStub"
code-creation,Stub,3,3248,0x1bb073f9c5e0,2084,"RecordWriteStub"
code-creation,Stub,3,3249,0x1bb073f9ce80,2126,"RecordWriteStub"
code-creation,Stub,3,3249,0x1bb073f9d740,2076,"RecordWriteStub"
code-creation,Stub,3,3250,0x1bb073f9dfc0,2088,"RecordWriteStub"
code-creation,Stub,3,3250,0x1bb073f9e860,2099,"RecordWriteStub"
code-creation,Stub,3,3251,0x1bb073f9f100,2084,"RecordWriteStub"
code-creation,Stub,3,3252,0x1bb073f9f9a0,2151,"RecordWriteStub"
code-creation,Stub,3,3252,0x1bb073fa0280,2087,"RecordWriteStub"
code-creation,Stub,3,3253,0x1bb073fa0b20,2072,"RecordWriteStub"
code-creation,Stub,3,3254,0x1bb073fa13a0,363,"ArraySingleArgumentConstructorStub"
code-creation,Handler,4,3254,0x1bb073fa1580,612,"An IC handler from the snapshot"
code-creation,Stub,3,3255,0x1bb073fa1860,2126,"RecordWriteStub"
code-creation,Handler,4,3256,0x1bb073fa2120,180,"An IC handler from the snapshot"
code-creation,Stub,3,3256,0x1bb073fa2240,2088,"RecordWriteStub"
code-creation,Handler,4,3257,0x1bb073fa2ae0,164,"An IC handler from the snapshot"
code-creation,Stub,3,3258,0x1bb073fa2c00,3146,"SubStringStub"
code-creation,Stub,3,3258,0x1bb073fa38c0,269,"CEntryStub"
code-creation,Stub,3,3259,0x1bb073fa3a40,2106,"RecordWriteStub"
code-creation,Stub,3,3259,0x1bb073fa42e0,2103,"RecordWriteStub"
code-creation,Stub,3,3260,0x1bb073fa4b80,2110,"RecordWriteStub"
code-creation,Stub,3,3260,0x1bb073fa5420,882,"RecordWriteStub"
code-creation,Stub,3,3261,0x1bb073fa5800,2084,"RecordWriteStub"
code-creation,Stub,3,3262,0x1bb073fa60a0,2072,"RecordWriteStub"
code-creation,Stub,3,3262,0x1bb073fa6920,2106,"RecordWriteStub"
code-creation,Stub,3,3263,0x1bb073fa71c0,2126,"RecordWriteStub"
code-creation,Stub,3,3263,0x1bb073fa7a80,2113,"RecordWriteStub"
code-creation,Stub,3,3264,0x1bb073fa8340,463,"StringAddStub"
code-creation,Builtin,5,3265,0x1bb073fa8580,190,"NonPrimitiveToPrimitive_Default"
code-creation,Builtin,5,3265,0x1bb073fa86a0,123,"Call_ReceiverIsNotNullOrUndefined"
code-creation,Builtin,5,3266,0x1bb073fa8780,260,"OrdinaryToPrimitive_Number"
code-creation,Stub,3,3267,0x1bb073fa8900,2117,"RecordWriteStub"
code-creation,Stub,3,3267,0x1bb073fa91c0,2142,"RecordWriteStub"
code-creation,Stub,3,3268,0x1bb073fa9a80,2100,"RecordWriteStub"
code-creation,Stub,3,3268,0x1bb073faa320,2117,"RecordWriteStub"
code-creation,Stub,3,3269,0x1bb073faabe0,251,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,3270,0x1bb073faad40,2130,"RecordWriteStub"
code-creation,Stub,3,3270,0x1bb073fab600,375,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,3271,0x1bb073fab7e0,2076,"RecordWriteStub"
code-creation,Stub,3,3274,0x1bb073fac060,2142,"RecordWriteStub"
code-creation,Stub,3,3274,0x1bb073fac920,491,"StringAddStub"
code-creation,Stub,3,3275,0x1bb073facb80,2088,"RecordWriteStub"
code-creation,Stub,3,3275,0x1bb073fad420,2125,"RecordWriteStub"
code-creation,Stub,3,3276,0x1bb073fadce0,2084,"RecordWriteStub"
code-creation,Stub,3,3276,0x1bb073fae580,215,"ArrayNoArgumentConstructorStub"
code-creation,Handler,4,3277,0x1bb073fae6c0,636,"An IC handler from the snapshot"
code-creation,Stub,3,3278,0x1bb073fae9a0,2126,"RecordWriteStub"
code-creation,Stub,3,3278,0x1bb073faf260,2109,"RecordWriteStub"
code-creation,Stub,3,3279,0x1bb073fafb00,2072,"RecordWriteStub"
code-creation,Stub,3,3279,0x1bb073fb0380,2130,"RecordWriteStub"
code-creation,Stub,3,3280,0x1bb073fb0c40,2125,"RecordWriteStub"
code-creation,Handler,4,3281,0x1bb073fb1500,552,"An IC handler from the snapshot"
code-creation,Stub,3,3281,0x1bb073fb17a0,2088,"RecordWriteStub"
code-creation,Stub,3,3282,0x1bb073fb2040,2129,"RecordWriteStub"
code-creation,Stub,3,3283,0x1bb073fb2900,1225,"RecordWriteStub"
code-creation,Stub,3,3283,0x1bb073fb2e40,269,"CEntryStub"
code-creation,Stub,3,3284,0x1bb073fb2fc0,2100,"RecordWriteStub"
code-creation,Stub,3,3284,0x1bb073fb3860,215,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,3285,0x1bb073fb39a0,367,"ArraySingleArgumentConstructorStub"
code-creation,Handler,4,3286,0x1bb073fb3b80,636,"An IC handler from the snapshot"
code-creation,Stub,3,3286,0x1bb073fb3e60,2091,"RecordWriteStub"
code-creation,Stub,3,3287,0x1bb073fb4700,2130,"RecordWriteStub"
code-creation,Handler,4,3287,0x1bb073fb4fc0,132,"An IC handler from the snapshot"
code-creation,Stub,3,3288,0x1bb073fb50c0,2076,"RecordWriteStub"
code-creation,Stub,3,3289,0x1bb073fb5940,884,"RecordWriteStub"
code-creation,Stub,3,3289,0x1bb073fb5d20,331,"CallApiGetterStub"
code-creation,Stub,3,3290,0x1bb073fb5ee0,261,"MathPowStub"
code-creation,Stub,3,3290,0x1bb073fb6060,319,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,3291,0x1bb073fb6200,2091,"RecordWriteStub"
code-creation,Stub,3,3292,0x1bb073fb6aa0,207,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,3292,0x1bb073fb6be0,2134,"RecordWriteStub"
code-creation,Stub,3,3293,0x1bb073fb74a0,2126,"RecordWriteStub"
code-creation,Stub,3,3294,0x1bb073fb7d60,1207,"RecordWriteStub"
code-creation,Stub,3,3294,0x1bb073fb8280,2079,"RecordWriteStub"
code-creation,Stub,3,3295,0x1bb073fb8b00,411,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,3295,0x1bb073fb8d00,2099,"RecordWriteStub"
code-creation,Stub,3,3296,0x1bb073fb95a0,2160,"RecordWriteStub"
code-creation,Stub,3,3297,0x1bb073fb9e80,2088,"RecordWriteStub"
code-creation,Stub,3,3297,0x1bb073fba720,89,"DoubleToIStub"
code-creation,Stub,3,3298,0x1bb073fba7e0,2118,"RecordWriteStub"
code-creation,Stub,3,3298,0x1bb073fbb0a0,2104,"RecordWriteStub"
code-creation,Handler,4,3299,0x1bb073fbb940,132,"An IC handler from the snapshot"
code-creation,Stub,3,3300,0x1bb073fbba40,87,"DoubleToIStub"
code-creation,Stub,3,3300,0x1bb073fbbb00,327,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,3301,0x1bb073fbbcc0,2100,"RecordWriteStub"
code-creation,Handler,4,3301,0x1bb073fbc560,612,"An IC handler from the snapshot"
code-creation,Stub,3,3302,0x1bb073fbc840,319,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,3303,0x1bb073fbc9e0,2118,"RecordWriteStub"
code-creation,Stub,3,3303,0x1bb073fbd2a0,2091,"RecordWriteStub"
code-creation,Stub,3,3304,0x1bb073fbdb40,2087,"RecordWriteStub"
code-creation,Stub,3,3304,0x1bb073fbe3e0,2145,"RecordWriteStub"
code-creation,Stub,3,3305,0x1bb073fbecc0,563,"TransitionElementsKindStub"
code-creation,Stub,3,3306,0x1bb073fbef60,884,"RecordWriteStub"
code-creation,Stub,3,3306,0x1bb073fbf340,2088,"RecordWriteStub"
code-creation,Stub,3,3307,0x1bb073fbfbe0,2087,"RecordWriteStub"
code-creation,Stub,3,3307,0x1bb073fc0480,2088,"RecordWriteStub"
code-creation,Stub,3,3308,0x1bb073fc0d20,308,"CEntryStub"
code-creation,Stub,3,3309,0x1bb073fc0ec0,2130,"RecordWriteStub"
code-creation,Stub,3,3309,0x1bb073fc1780,2130,"RecordWriteStub"
code-creation,Stub,3,3310,0x1bb073fc2040,2148,"RecordWriteStub"
code-creation,Stub,3,3313,0x1bb073fc2920,2118,"RecordWriteStub"
code-creation,Stub,3,3313,0x1bb073fc31e0,2075,"RecordWriteStub"
code-creation,Stub,3,3314,0x1bb073fc3a60,1246,"RecordWriteStub"
code-creation,Handler,4,3314,0x1bb073fc3fa0,600,"An IC handler from the snapshot"
code-creation,Stub,3,3315,0x1bb073fc4260,2126,"RecordWriteStub"
code-creation,Stub,3,3316,0x1bb073fc4b20,207,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,3316,0x1bb073fc4c60,2063,"RecordWriteStub"
code-creation,Stub,3,3317,0x1bb073fc54e0,2100,"RecordWriteStub"
code-creation,Stub,3,3317,0x1bb073fc5d80,2103,"RecordWriteStub"
code-creation,Handler,4,3318,0x1bb073fc6620,552,"An IC handler from the snapshot"
code-creation,Stub,3,3319,0x1bb073fc68c0,896,"RecordWriteStub"
code-creation,Stub,3,3319,0x1bb073fc6ca0,2100,"RecordWriteStub"
code-creation,Stub,3,3320,0x1bb073fc7540,2104,"RecordWriteStub"
code-creation,Stub,3,3321,0x1bb073fc7de0,1246,"RecordWriteStub"
code-creation,Stub,3,3321,0x1bb073fc8320,2100,"RecordWriteStub"
code-creation,Stub,3,3322,0x1bb073fc8bc0,2072,"RecordWriteStub"
code-creation,Stub,3,3322,0x1bb073fc9440,2099,"RecordWriteStub"
code-creation,Stub,3,3323,0x1bb073fc9ce0,2134,"RecordWriteStub"
code-creation,Stub,3,3324,0x1bb073fca5a0,2104,"RecordWriteStub"
code-creation,Stub,3,3324,0x1bb073fcae40,2100,"RecordWriteStub"
code-creation,Stub,3,3325,0x1bb073fcb6e0,337,"ArrayConstructorStub"
code-creation,Builtin,5,3326,0x1bb073fcb8a0,25,"Abort"
code-creation,Stub,3,3326,0x1bb073fcb920,2114,"RecordWriteStub"
code-creation,Builtin,5,3327,0x1bb073fcc1e0,15,"StrictPoisonPillThrower"
code-creation,Builtin,5,3327,0x1bb073fcc260,28,"ReturnReceiver"
code-creation,Builtin,5,3330,0x1bb073fcc2e0,446,"GeneratorPrototypeNext"
code-creation,Builtin,5,3333,0x1bb073fcc500,249,"ResumeGeneratorTrampoline"
code-creation,Builtin,5,3334,0x1bb073fcc660,223,"CreateIterResultObject"
code-creation,Builtin,5,3334,0x1bb073fcc7a0,450,"GeneratorPrototypeReturn"
code-creation,Builtin,5,3335,0x1bb073fcc9e0,462,"GeneratorPrototypeThrow"
code-creation,Builtin,5,3336,0x1bb073fccc20,1544,"AsyncFromSyncIteratorPrototypeNext"
code-creation,Builtin,5,3338,0x1bb073fcd2a0,76,"ToBoolean"
code-creation,Builtin,5,3339,0x1bb073fcd360,3876,"ResolveNativePromise"
code-creation,Builtin,5,3340,0x1bb073fce300,284,"StringEqual"
code-creation,Builtin,5,3341,0x1bb073fce480,5140,"PerformNativePromiseThen"
code-creation,Builtin,5,3341,0x1bb073fcf900,668,"RejectNativePromise"
code-creation,Builtin,5,3342,0x1bb073fcfc00,2044,"AsyncFromSyncIteratorPrototypeReturn"
code-creation,Builtin,5,3342,0x1bb073fd0460,1580,"AsyncFromSyncIteratorPrototypeThrow"
code-creation,Builtin,5,3343,0x1bb073fd0b00,912,"AsyncGeneratorPrototypeNext"
code-creation,Builtin,5,3344,0x1bb073fd0f00,444,"AsyncGeneratorResumeNext"
code-creation,Builtin,5,3345,0x1bb073fd1120,290,"AsyncGeneratorResolve"
code-creation,Builtin,5,3345,0x1bb073fd12c0,111,"AsyncGeneratorReject"
code-creation,Builtin,5,3346,0x1bb073fd13a0,1124,"AsyncGeneratorReturn"
code-creation,Builtin,5,3347,0x1bb073fd1880,920,"AsyncGeneratorPrototypeReturn"
code-creation,Builtin,5,3347,0x1bb073fd1c80,920,"AsyncGeneratorPrototypeThrow"
code-creation,Builtin,5,3348,0x1bb073fd2080,15,"Illegal"
code-creation,Builtin,5,3349,0x1bb073fd2100,15,"ObjectAssign"
code-creation,Builtin,5,3349,0x1bb073fd2180,15,"ObjectGetOwnPropertyDescriptor"
code-creation,Builtin,5,3350,0x1bb073fd2200,15,"ObjectGetOwnPropertyDescriptors"
code-creation,Builtin,5,3351,0x1bb073fd2280,15,"ObjectGetOwnPropertyNames"
code-creation,Builtin,5,3351,0x1bb073fd2300,15,"ObjectGetOwnPropertySymbols"
code-creation,Builtin,5,3352,0x1bb073fd2380,15,"ObjectIs"
code-creation,Builtin,5,3352,0x1bb073fd2400,15,"ObjectPreventExtensions"
code-creation,Builtin,5,3353,0x1bb073fd2480,15,"ObjectSeal"
code-creation,Builtin,5,3354,0x1bb073fd2500,848,"ObjectCreate"
code-creation,Builtin,5,3354,0x1bb073fd28c0,15,"ObjectDefineProperties"
code-creation,Builtin,5,3355,0x1bb073fd2940,15,"ObjectDefineProperty"
code-creation,Builtin,5,3355,0x1bb073fd29c0,15,"ObjectFreeze"
code-creation,Builtin,5,3356,0x1bb073fd2a40,15,"ObjectGetPrototypeOf"
code-creation,Builtin,5,3359,0x1bb073fd2ac0,15,"ObjectSetPrototypeOf"
code-creation,Builtin,5,3359,0x1bb073fd2b40,15,"ObjectIsExtensible"
code-creation,Builtin,5,3360,0x1bb073fd2bc0,15,"ObjectIsFrozen"
code-creation,Builtin,5,3360,0x1bb073fd2c40,15,"ObjectIsSealed"
code-creation,Builtin,5,3361,0x1bb073fd2cc0,540,"ObjectKeys"
code-creation,Builtin,5,3362,0x1bb073fd2f40,15,"ObjectEntries"
code-creation,Builtin,5,3362,0x1bb073fd2fc0,15,"ObjectValues"
code-creation,Builtin,5,3363,0x1bb073fd3040,15,"ObjectDefineGetter"
code-creation,Builtin,5,3363,0x1bb073fd30c0,15,"ObjectDefineSetter"
code-creation,Builtin,5,3364,0x1bb073fd3140,1935,"ObjectPrototypeHasOwnProperty"
code-creation,Builtin,5,3365,0x1bb073fd3940,15,"ObjectLookupGetter"
code-creation,Builtin,5,3365,0x1bb073fd39c0,15,"ObjectLookupSetter"
code-creation,Builtin,5,3366,0x1bb073fd3a40,195,"ObjectPrototypeIsPrototypeOf"
code-creation,Builtin,5,3366,0x1bb073fd3b80,15,"ObjectPrototypePropertyIsEnumerable"
code-creation,Builtin,5,3367,0x1bb073fd3c00,1188,"ObjectPrototypeToString"
code-creation,Builtin,5,3368,0x1bb073fd4120,132,"ClassOf"
code-creation,Builtin,5,3369,0x1bb073fd4220,47,"ObjectPrototypeValueOf"
code-creation,Builtin,5,3369,0x1bb073fd42c0,15,"ObjectPrototypeGetProto"
code-creation,Builtin,5,3370,0x1bb073fd4340,15,"ObjectPrototypeSetProto"
code-creation,Builtin,5,3370,0x1bb073fd43c0,15,"FunctionConstructor"
code-creation,Builtin,5,3371,0x1bb073fd4440,64,"FunctionPrototypeApply"
code-creation,Builtin,5,3372,0x1bb073fd44e0,1240,"CallWithArrayLike"
code-creation,Builtin,5,3372,0x1bb073fd4a20,81,"CallVarargs"
code-creation,Builtin,5,3373,0x1bb073fd4ae0,848,"FastFunctionPrototypeBind"
code-creation,Builtin,5,3374,0x1bb073fd4ea0,15,"FunctionPrototypeBind"
code-creation,Builtin,5,3374,0x1bb073fd4f20,47,"FunctionPrototypeCall"
code-creation,Builtin,5,3375,0x1bb073fd4fc0,15,"FunctionPrototypeToString"
code-creation,Builtin,5,3375,0x1bb073fd5040,227,"FunctionPrototypeHasInstance"
code-creation,Builtin,5,3376,0x1bb073fd51a0,51,"AsyncIteratorValueUnwrap"
code-creation,Builtin,5,3377,0x1bb073fd5240,1056,"AsyncGeneratorAwaitCaught"
code-creation,Builtin,5,3377,0x1bb073fd56c0,1056,"AsyncGeneratorAwaitUncaught"
code-creation,Builtin,5,3378,0x1bb073fd5b40,159,"AsyncGeneratorAwaitResolveClosure"
