v8-version,6,2,414,54,0
code-creation,Stub,3,4429,0xe240ac14460,2097,"RecordWriteStub"
code-creation,Stub,3,4430,0xe240ac14d00,2088,"RecordWriteStub"
code-creation,Stub,3,4431,0xe240ac155a0,2103,"RecordWriteStub"
code-creation,Stub,3,4431,0xe240ac15e40,2088,"RecordWriteStub"
code-creation,Stub,3,4432,0xe240ac166e0,884,"RecordWriteStub"
code-creation,Stub,3,4433,0xe240ac16ac0,884,"RecordWriteStub"
code-creation,Stub,3,4434,0xe240ac16ea0,2109,"RecordWriteStub"
code-creation,Stub,3,4434,0xe240ac17740,882,"RecordWriteStub"
code-creation,Stub,3,4435,0xe240ac17b20,207,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,4436,0xe240ac17c60,235,"NumberToStringStub"
code-creation,Stub,3,4437,0xe240ac17dc0,2125,"RecordWriteStub"
code-creation,Stub,3,4438,0xe240ac18680,2142,"RecordWriteStub"
code-creation,Stub,3,4439,0xe240ac18f40,884,"RecordWriteStub"
code-creation,Stub,3,4439,0xe240ac19320,2104,"RecordWriteStub"
code-creation,Stub,3,4440,0xe240ac19bc0,2088,"RecordWriteStub"
code-creation,Stub,3,4441,0xe240ac1a460,251,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,4442,0xe240ac1a5c0,2087,"RecordWriteStub"
code-creation,Stub,3,4442,0xe240ac1ae60,87,"DoubleToIStub"
code-creation,Stub,3,4443,0xe240ac1af20,2076,"RecordWriteStub"
code-creation,Stub,3,4444,0xe240ac1b7a0,2142,"RecordWriteStub"
code-creation,Stub,3,4445,0xe240ac1c060,199,"InternalArrayNoArgumentConstructorStub"
code-creation,Stub,3,4446,0xe240ac1c1a0,110,"InternalArrayConstructorStub"
code-creation,Stub,3,4446,0xe240ac1c280,199,"InternalArrayNoArgumentConstructorStub"
code-creation,Stub,3,4447,0xe240ac1c3c0,319,"InternalArraySingleArgumentConstructorStub"
code-creation,Stub,3,4448,0xe240ac1c560,27,"ArrayNArgumentsConstructorStub"
code-creation,Stub,3,4449,0xe240ac1c5e0,2084,"RecordWriteStub"
code-creation,Stub,3,4450,0xe240ac1ce80,2126,"RecordWriteStub"
code-creation,Stub,3,4450,0xe240ac1d740,2076,"RecordWriteStub"
code-creation,Stub,3,4451,0xe240ac1dfc0,2088,"RecordWriteStub"
code-creation,Stub,3,4452,0xe240ac1e860,2099,"RecordWriteStub"
code-creation,Stub,3,4453,0xe240ac1f100,2084,"RecordWriteStub"
code-creation,Stub,3,4453,0xe240ac1f9a0,2151,"RecordWriteStub"
code-creation,Stub,3,4454,0xe240ac20280,2087,"RecordWriteStub"
code-creation,Stub,3,4455,0xe240ac20b20,2072,"RecordWriteStub"
code-creation,Stub,3,4456,0xe240ac213a0,363,"ArraySingleArgumentConstructorStub"
code-creation,Handler,4,4457,0xe240ac21580,612,"An IC handler from the snapshot"
code-creation,Stub,3,4457,0xe240ac21860,2126,"RecordWriteStub"
code-creation,Handler,4,4458,0xe240ac22120,180,"An IC handler from the snapshot"
code-creation,Stub,3,4459,0xe240ac22240,2088,"RecordWriteStub"
code-creation,Handler,4,4460,0xe240ac22ae0,164,"An IC handler from the snapshot"
